id;code;nom;prenom;raison_sociale;numero_registre_commerce;nif;nis;num_art_imposition;telephone;fax;email
1;Gorgeous Frozen Computer innovate Markets;copying compress transmitter;Synchronised Investment Account AI;Communications;Home Loan Account sky blue;connecting Bedfordshire;Representative Computers Flats;Turnpike;583-465-9871;SAS neural;Vickie.Schroeder7@hotmail.com
2;calculating;Utah Assurance;Fresh;Producer revolutionary Mission;Direct;invoice;integrate Sports Hat;Rubber Awesome Fresh Ball;169-285-6613 x91769;Heights;Susie_Jakubowski91@gmail.com
3;Avon Health Associate;scale;functionalities 1080p;Incredible Frozen Salad Garden;Specialist Pound Sterling;hybrid Security Hungary;Facilitator;withdrawal Grocery;450.096.1151;Sharable EXE;Teagan55@hotmail.com
4;Station;Buckinghamshire;models navigate Bahamas;JBOD Buckinghamshire compressing;Orchestrator;Buckinghamshire Somali Shilling backing up;parse;gold Product;622.927.4376 x38861;Zambian Kwacha;Margot25@yahoo.com
5;Savings Account Ergonomic Frozen Chicken disintermediate;Steel platforms;online Product quantify;transform Practical Clothing;connect;Maryland Frozen;Response;Swaziland Hollow;1-909-852-1110 x6551;Frozen;Loraine_Toy5@yahoo.com
6;lavender Diverse;Senior Regional virtual;web services out-of-the-box;Developer;withdrawal;bandwidth methodology Personal Loan Account;online;bypassing Computer online;226-038-8089;microchip Clothing XSS;Brooks60@hotmail.com
7;monitor Cape Creative;quantify payment discrete;Texas Enterprise-wide monetize;Buckinghamshire primary;Ergonomic Fresh Cheese;purple;Refined Wooden Keyboard e-services Chief;CSS;1-255-987-6385 x8976;Road West Virginia;Kasey.Weimann23@gmail.com
8;expedite Delaware deliver;Portugal Developer;Hat Yuan Renminbi;Chair Practical XML;Crest;Electronics;Ohio;microchip;1-717-431-3164 x984;Madagascar;Therese.Block72@hotmail.com
9;XSS;invoice HTTP Berkshire;Total;Glen;Developer cyan;GB;deposit online Roads;database Money Market Account;(469) 235-6531 x04854;European Unit of Account 17(E.U.A.-17) Home Loan Account;Branson8@hotmail.com
10;Associate;open-source Computer;index;Money Market Account hard drive Estonia;copy payment;Plastic Assistant;Camp;eyeballs;1-606-323-1320 x8735;black;Adelbert.Hilpert@hotmail.com
